iso.alpha.3,unaids.region.code,unaids.region.name
AFG,AP,Asia and Pacific
ALB,EECA,Eastern Europe and Central Asia
DZA,MENA,Middle East and North Africa
AND,WCENA,Western and Central Europe and North America
AGO,ESA,Eastern and Southern Africa
ATG,LAC,Latin America and the Caribbean
ARG,LAC,Latin America and the Caribbean
ARM,EECA,Eastern Europe and Central Asia
AUS,AP,Asia and Pacific
AUT,WCENA,Western and Central Europe and North America
AZE,EECA,Eastern Europe and Central Asia
BHS,LAC,Latin America and the Caribbean
BHR,MENA,Middle East and North Africa
BGD,AP,Asia and Pacific
BRB,LAC,Latin America and the Caribbean
BLR,EECA,Eastern Europe and Central Asia
BEL,WCENA,Western and Central Europe and North America
BLZ,LAC,Latin America and the Caribbean
BEN,WCA,Western and Central Africa
BTN,AP,Asia and Pacific
BOL,LAC,Latin America and the Caribbean
BIH,EECA,Eastern Europe and Central Asia
BWA,ESA,Eastern and Southern Africa
BRA,LAC,Latin America and the Caribbean
BRN,AP,Asia and Pacific
BGR,WCENA,Western and Central Europe and North America
BFA,WCA,Western and Central Africa
BDI,WCA,Western and Central Africa
KHM,AP,Asia and Pacific
CMR,WCA,Western and Central Africa
CAN,WCENA,Western and Central Europe and North America
CPV,WCA,Western and Central Africa
CAF,WCA,Western and Central Africa
TCD,WCA,Western and Central Africa
CHL,LAC,Latin America and the Caribbean
CHN,AP,Asia and Pacific
COL,LAC,Latin America and the Caribbean
COM,ESA,Eastern and Southern Africa
COG,WCA,Western and Central Africa
COD,WCA,Western and Central Africa
CRI,LAC,Latin America and the Caribbean
CIV,WCA,Western and Central Africa
HRV,WCENA,Western and Central Europe and North America
CUB,LAC,Latin America and the Caribbean
CYP,WCENA,Western and Central Europe and North America
CZE,WCENA,Western and Central Europe and North America
PRK,AP,Asia and Pacific
DNK,WCENA,Western and Central Europe and North America
DJI,MENA,Middle East and North Africa
DMA,LAC,Latin America and the Caribbean
DOM,LAC,Latin America and the Caribbean
ECU,LAC,Latin America and the Caribbean
EGY,MENA,Middle East and North Africa
SLV,LAC,Latin America and the Caribbean
GNQ,WCA,Western and Central Africa
ERI,ESA,Eastern and Southern Africa
EST,WCENA,Western and Central Europe and North America
ETH,ESA,Eastern and Southern Africa
FSM,AP,Asia and Pacific
FJI,AP,Asia and Pacific
FIN,WCENA,Western and Central Europe and North America
FRA,WCENA,Western and Central Europe and North America
GAB,WCA,Western and Central Africa
GMB,WCA,Western and Central Africa
GEO,EECA,Eastern Europe and Central Asia
DEU,WCENA,Western and Central Europe and North America
GHA,WCA,Western and Central Africa
GRC,WCENA,Western and Central Europe and North America
GRD,LAC,Latin America and the Caribbean
GTM,LAC,Latin America and the Caribbean
GIN,WCA,Western and Central Africa
GNB,WCA,Western and Central Africa
GUY,LAC,Latin America and the Caribbean
HTI,LAC,Latin America and the Caribbean
HND,LAC,Latin America and the Caribbean
HUN,WCENA,Western and Central Europe and North America
ISL,WCENA,Western and Central Europe and North America
IND,AP,Asia and Pacific
IDN,AP,Asia and Pacific
IRQ,MENA,Middle East and North Africa
IRL,WCENA,Western and Central Europe and North America
IRN,MENA,Middle East and North Africa
ISR,WCENA,Western and Central Europe and North America
ITA,WCENA,Western and Central Europe and North America
JAM,LAC,Latin America and the Caribbean
JPN,AP,Asia and Pacific
JOR,MENA,Middle East and North Africa
KAZ,EECA,Eastern Europe and Central Asia
KEN,ESA,Eastern and Southern Africa
KIR,AP,Asia and Pacific
KWT,MENA,Middle East and North Africa
KGZ,EECA,Eastern Europe and Central Asia
LAO,AP,Asia and Pacific
LVA,WCENA,Western and Central Europe and North America
LBN,MENA,Middle East and North Africa
LSO,ESA,Eastern and Southern Africa
LBR,WCA,Western and Central Africa
LBY,MENA,Middle East and North Africa
LTU,WCENA,Western and Central Europe and North America
LUX,WCENA,Western and Central Europe and North America
MDG,ESA,Eastern and Southern Africa
MWI,ESA,Eastern and Southern Africa
MYS,AP,Asia and Pacific
MDV,AP,Asia and Pacific
MLI,WCA,Western and Central Africa
MLT,WCENA,Western and Central Europe and North America
MHL,AP,Asia and Pacific
MRT,WCA,Western and Central Africa
MUS,ESA,Eastern and Southern Africa
MEX,LAC,Latin America and the Caribbean
MDA,EECA,Eastern Europe and Central Asia
MNG,AP,Asia and Pacific
MNE,EECA,Eastern Europe and Central Asia
MAR,MENA,Middle East and North Africa
MOZ,ESA,Eastern and Southern Africa
MMR,AP,Asia and Pacific
NAM,ESA,Eastern and Southern Africa
NRU,AP,Asia and Pacific
NPL,AP,Asia and Pacific
NLD,WCENA,Western and Central Europe and North America
NZL,AP,Asia and Pacific
NIC,LAC,Latin America and the Caribbean
NER,WCA,Western and Central Africa
NGA,WCA,Western and Central Africa
NOR,WCENA,Western and Central Europe and North America
OMN,MENA,Middle East and North Africa
PAK,AP,Asia and Pacific
PLW,AP,Asia and Pacific
PAN,LAC,Latin America and the Caribbean
PNG,AP,Asia and Pacific
PRY,LAC,Latin America and the Caribbean
PER,LAC,Latin America and the Caribbean
PHL,AP,Asia and Pacific
POL,WCENA,Western and Central Europe and North America
PRT,WCENA,Western and Central Europe and North America
QAT,MENA,Middle East and North Africa
KOR,AP,Asia and Pacific
ROU,WCENA,Western and Central Europe and North America
RUS,EECA,Eastern Europe and Central Asia
RWA,ESA,Eastern and Southern Africa
KNA,LAC,Latin America and the Caribbean
LCA,LAC,Latin America and the Caribbean
VCT,LAC,Latin America and the Caribbean
STP,WCA,Western and Central Africa
SAU,MENA,Middle East and North Africa
SEN,WCA,Western and Central Africa
SRB,WCENA,Western and Central Europe and North America
SYC,ESA,Eastern and Southern Africa
SLE,WCA,Western and Central Africa
SGP,AP,Asia and Pacific
SVK,WCENA,Western and Central Europe and North America
SVN,WCENA,Western and Central Europe and North America
SLB,AP,Asia and Pacific
SOM,MENA,Middle East and North Africa
ZAF,ESA,Eastern and Southern Africa
SSD,ESA,Eastern and Southern Africa
ESP,WCENA,Western and Central Europe and North America
LKA,AP,Asia and Pacific
SDN,MENA,Middle East and North Africa
SUR,LAC,Latin America and the Caribbean
SWZ,ESA,Eastern and Southern Africa
SWE,WCENA,Western and Central Europe and North America
CHE,WCENA,Western and Central Europe and North America
SYR,MENA,Middle East and North Africa
TJK,EECA,Eastern Europe and Central Asia
TZA,ESA,Eastern and Southern Africa
THA,AP,Asia and Pacific
MKD,EECA,Eastern Europe and Central Asia
TLS,AP,Asia and Pacific
TGO,WCA,Western and Central Africa
TON,AP,Asia and Pacific
TTO,LAC,Latin America and the Caribbean
TUN,MENA,Middle East and North Africa
TUR,WCENA,Western and Central Europe and North America
TKM,EECA,Eastern Europe and Central Asia
TUV,AP,Asia and Pacific
UGA,ESA,Eastern and Southern Africa
UKR,EECA,Eastern Europe and Central Asia
ARE,MENA,Middle East and North Africa
GBR,WCENA,Western and Central Europe and North America
USA,WCENA,Western and Central Europe and North America
URY,LAC,Latin America and the Caribbean
UZB,EECA,Eastern Europe and Central Asia
VUT,AP,Asia and Pacific
VEN,LAC,Latin America and the Caribbean
VNM,AP,Asia and Pacific
YEM,MENA,Middle East and North Africa
ZMB,ESA,Eastern and Southern Africa
ZWE,ESA,Eastern and Southern Africa
